title,title_description,title_link
Bitcoing white paper,This document will cover the thoughts behind building Bitcoin,https://bitcoin.org/bitcoin.pdf
The Little Bitcoin Book,Amazon book,https://www.amazon.com/Little-Bitcoin-Book-Matters-Finances/dp/1641990503
Inventing Bitcoin by Yan Pritzker,Super beginner-friendly intro,https://www.swanbitcoin.com/inventing-bitcoin/
Banking on Bitcoin,A great intro to Bitcoin’s story,https://www.youtube.com/watch?v=8rsxIW02W0g
The Bitcoin Standard by Saifedean Ammous,Learn how money works and why Bitcoin matters,https://www.amazon.com/Bitcoin-Standard-Decentralized-Alternative-Central/dp/1119473861
